0,1
0,1
0,2
0,2
0,3
0,3
1,7
1,9
1,10
1,11
1,0
2,4
2,6
2,7
2,12
2,0
3,4
3,5
3,6
3,8
3,11
3,0
4,14
4,13
4,24
4,3
4,2
5,14
5,16
5,17
5,19
5,21
6,13
6,15
6,20
6,24
6,3
6,2
7,20
7,22
7,2
7,1
8,17
8,17
8,24
8,24
8,3
8,3
9,18
9,22
9,23
10,18
10,18
10,1
10,1
11,21
11,20
11,23
11,3
11,1
12,13
12,13
12,2
12,2
13,25
13,30
13,12
13,6
13,4
14,33
14,39
14,41
14,5
15,25
15,31
15,32
15,35
15,40
16,26
16,27
16,28
16,34
16,39
16,5
17,27
17,29
17,41
17,5
18,38
18,9
19,29
19,33
19,34
19,42
19,5
20,32
20,37
20,11
20,7
20,6
21,26
21,36
21,42
21,5
22,37
22,9
23,36
23,37
23,9
24,30
24,40
24,41
24,8
24,6
24,4
25,47
25,51
25,53
25,15
26,45
26,48
26,59
26,21
26,16
27,52
27,55
27,60
27,17
27,16
28,43
28,45
28,52
28,63
28,16
29,55
29,57
29,19
29,17
30,47
30,47
30,24
30,24
30,13
30,13
31,44
31,53
31,56
31,62
31,15
32,54
32,58
32,62
32,15
33,50
33,57
33,19
33,14
34,50
34,55
34,59
34,19
34,16
35,44
35,49
35,51
35,58
35,15
36,46
36,48
37,54
37,23
37,22
39,50
39,60
39,63
39,16
39,14
40,47
40,49
40,56
40,61
40,15
41,57
41,60
41,61
41,17
41,14
42,46
42,59
42,21
42,19
43,67
43,69
43,70
43,72
43,75
44,64
44,65
44,79
44,82
44,35
44,31
45,75
45,80
45,28
45,26
46,84
46,36
47,68
47,76
47,40
47,25
48,80
48,84
48,36
49,74
49,76
49,82
49,40
49,35
50,73
50,39
50,34
50,33
51,76
51,79
51,35
51,25
52,66
52,70
52,28
52,27
53,68
53,79
53,31
53,25
54,71
54,83
55,73
55,34
55,29
55,27
56,68
56,78
56,82
56,40
56,31
57,73
57,77
57,41
57,33
57,29
58,64
58,83
58,35
58,32
59,84
59,42
59,34
59,26
60,66
60,73
60,81
60,41
60,39
60,27
61,74
61,78
61,77
61,81
62,64
62,71
62,32
62,31
63,66
63,69
63,39
63,28
64,90
64,91
64,62
64,58
64,44
65,87
65,89
65,90
65,100
65,44
66,88
66,94
66,63
66,60
66,52
67,86
67,86
67,97
67,97
67,43
67,43
68,85
68,56
68,53
68,47
69,94
69,95
69,97
69,43
70,86
70,94
70,99
70,43
71,91
71,54
72,92
72,95
72,99
73,93
73,60
73,57
73,55
73,50
74,93
74,96
74,98
74,61
75,92
75,92
75,43
75,43
76,85
76,51
76,49
76,47
77,93
77,93
77,61
77,61
78,98
78,98
78,61
78,61
79,85
79,100
79,53
79,51
79,44
80,92
80,48
81,88
81,93
81,96
81,98
81,61
82,85
82,89
82,98
82,56
82,49
82,44
83,91
83,54
84,48
84,46
85,112
85,82
85,79
85,76
85,68
86,101
86,105
86,117
86,70
86,67
87,103
87,104
87,107
87,110
87,111
88,102
88,109
88,114
88,81
89,102
89,110
89,112
89,82
89,65
90,111
90,116
90,65
90,64
91,116
91,83
91,71
92,113
92,72
93,118
93,81
93,77
93,74
94,109
94,115
94,117
94,70
94,69
95,115
95,72
96,106
96,114
96,118
96,81
96,74
97,105
97,108
97,117
97,69
97,67
98,102
98,106
98,81
98,78
98,74
99,115
99,72
100,104
100,112
100,79
100,65
101,127
101,127
101,86
101,86
102,119
102,123
102,98
102,88
103,129
103,129
103,131
103,131
103,87
103,87
104,121
104,124
104,129
104,87
105,127
105,128
105,97
105,86
106,119
106,119
106,98
106,98
106,96
106,96
107,122
107,124
107,126
108,128
108,128
108,97
108,97
109,120
109,123
109,125
109,130
110,121
110,123
110,126
110,131
110,87
111,122
111,122
111,87
111,87
112,121
112,100
112,89
112,85
114,119
114,120
114,96
114,88
115,125
115,99
115,95
116,122
116,91
117,127
117,128
117,130
117,97
117,94
117,86
118,96
118,96
118,93
118,93
119,136
119,146
119,114
119,106
119,102
120,136
120,140
120,143
120,109
121,132
121,145
121,110
121,104
122,137
122,107
123,136
123,138
123,144
123,109
124,145
124,107
125,138
125,140
126,138
126,145
126,107
127,134
127,139
127,117
127,105
127,101
128,134
128,142
128,117
128,108
128,105
129,132
129,135
129,141
129,104
129,103
130,139
130,142
130,143
130,144
130,109
131,132
131,133
131,141
131,144
131,110
131,103
132,147
132,153
132,131
132,129
132,121
133,150
133,150
133,153
133,153
133,131
133,131
134,149
134,149
134,128
134,128
134,127
134,127
135,147
135,147
135,129
135,129
136,148
136,151
136,152
136,123
136,120
138,152
138,125
139,149
139,150
139,156
139,130
140,152
140,125
141,147
141,153
141,154
141,131
141,129
142,149
142,154
142,155
142,130
143,148
143,155
143,156
143,130
143,120
144,148
144,150
144,154
144,130
144,123
145,126
145,124
146,151
146,151
146,119
146,119
147,157
147,141
147,135
147,132
148,159
148,160
148,162
148,144
148,143
148,136
149,161
149,164
149,142
149,139
150,161
150,162
150,144
150,139
151,158
151,160
151,163
151,136
152,158
152,140
152,138
153,157
153,161
153,141
153,133
153,132
154,159
154,161
154,144
154,142
155,159
155,164
155,143
155,142
156,162
156,164
156,143
156,139
157,153
157,153
157,147
157,147
158,165
158,152
159,166
159,167
159,155
159,154
159,148
160,166
160,168
160,169
160,151
160,148
161,167
161,154
161,150
161,149
162,167
162,169
162,156
162,150
162,148
163,165
163,165
163,168
163,168
164,167
164,156
164,155
164,149
165,170
165,171
166,174
166,175
166,160
166,159
167,175
167,164
167,162
167,161
167,159
168,170
168,172
168,173
168,174
168,163
169,173
169,175
169,162
169,160
170,178
170,180
170,165
172,176
172,176
172,177
172,177
172,168
172,168
173,177
173,179
173,180
173,168
174,176
174,178
174,179
174,168
175,179
175,169
175,167
175,166
176,181
176,183
176,185
176,174
176,172
177,181
177,182
177,185
177,173
177,172
178,184
178,170
179,181
179,184
179,174
179,173
180,184
180,170
181,186
181,187
181,179
181,177
181,176
182,186
182,186
182,177
182,177
183,187
183,187
183,176
183,176
184,180
184,178
185,186
185,187
185,177
185,176
186,188
186,185
186,182
186,181
187,188
187,185
187,183
187,181
188,187
188,187
188,186
188,186
